lemma	inflected	label	hits
会う	会う	V;PRS;IPFV	55900000
会う	会わない	V;PRS;IPFV;NEG	11200000
会う	会わないです	V;PRS;IPFV;POL;NEG;COL	3110000
会う	会います	V;PRS;IPFV;POL;FOREG	4840000
会う	会いません	V;PRS;IPFV;POL;FOREG;NEG	2670000
会う	会うだろう	V;PRS;IPFV;PROSP	103000
会う	会わないだろう	V;PRS;IPFV;PROSP;NEG	492000
会う	会うでしょう	V;PRS;IPFV;PROSP;POL	176000
会う	会わないでしょう	V;PRS;IPFV;PROSP;POL;NEG	410000
会う	会った	V;PST;PFV	43900000
会う	会わなかった	V;PST;PFV;NEG	536000
会う	会いました	V;PST;PFV;POL;FOREG	7910000
会う	会いませんでした	V;PST;PFV;POL;FOREG;NEG	1570000
会う	会っただろう	V;PST;PFV;PROSP	2920
会う	会わなかっただろう	V;PST;PFV;PROSP;NEG	23500
会う	会ったでしょう	V;PST;PFV;PROSP;POL	726000
会う	会わなかったでしょう	V;PST;PFV;PROSP;POL;NEG	17000
会う	会おう	V;INTEN	8020000
会う	会いましょう	V;INTEN;POL;FOREG	10200000
会う	会いたい	V;PRS;IPFV;OPT;1	31800000
会う	会いたくない	V;PRS;IPFV;OPT;NEG;1	3340000
会う	会いたいです	V;PRS;IPFV;OPT;POL;1	1500000
会う	会いたくないです	V;PRS;IPFV;OPT;POL;NEG;1	629000
会う	会いたかった	V;PST;PFV;OPT;1	3420000
会う	会いたくなかった	V;PST;PFV;OPT;NEG;1	83600
会う	会いたかったです	V;PST;PFV;OPT;POL;1	581000
会う	会いたくなかったです	V;PST;PFV;OPT;POL;NEG;1	138000
会う	会いたがる	V;PRS;IPFV;OPT;3	107000
会う	会いたがらない	V;PRS;IPFV;OPT;NEG;3	27200
会う	会いたがります	V;PRS;IPFV;OPT;POL;FOREG;3	7580
会う	会いたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	11800
会う	会いたがった	V;PST;PFV;OPT;3	8650
会う	会いたがらなかった	V;PST;PFV;OPT;NEG;3	5970
会う	会いたがりました	V;PST;PFV;OPT;POL;FOREG;3	695
会う	会いたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	5440
会う	会え	V;IMP;OBLIG	60300000
会う	会いな	V;IMP;OBLIG;COL	17500
会う	会いなさい	V;IMP;OBLIG;POL	107000
会う	会って	V;IMP;COL	39500000
会う	会ってください	V;IMP;POL	23400000
会う	お会いください	V;FORM;IMP;POL	11800
会う	会うな	V;IMP;OBLIG;NEG	310000
会う	会わないで	V;IMP;NEG;COL	1660000
会う	会わないでください	V;IMP;POL;NEG	858000
会う	お会いにならないでください	V;FORM;IMP;POL;NEG	3
会う	会える	V;PRS;IPFV;POT	40700000
会う	会えない	V;PRS;IPFV;POT;NEG	22800000
会う	会えます	V;PRS;IPFV;POT;POL;FOREG	2260000
会う	会えません	V;PRS;IPFV;POT;POL;FOREG;NEG	632000
会う	会えた	V;PST;PFV;POT	11700000
会う	会えなかった	V;PST;PFV;POT;NEG	1710000
会う	会えました	V;PST;PFV;POT;POL;FOREG	5540000
会う	会えませんでした	V;PST;PFV;POT;POL;FOREG;NEG	1200000
会う	会われる	V;PRS;IPFV;PASS	35400
会う	会われない	V;PRS;IPFV;PASS;NEG	48300
会う	会われます	V;PRS;IPFV;PASS;POL;FOREG	30400
会う	会われません	V;PRS;IPFV;PASS;POL;FOREG;NEG	9160
会う	会われた	V;PST;PFV;PASS	107000
会う	会われなかった	V;PST;PFV;PASS;NEG	7990
会う	会われました	V;PST;PFV;PASS;POL;FOREG	158000
会う	会われませんでした	V;PST;PFV;PASS;POL;FOREG;NEG	1460
会う	会われる	V;PRS;IPFV;ELEV	35400
会う	会われない	V;PRS;IPFV;ELEV;NEG	48300
会う	会われます	V;PRS;IPFV;ELEV;POL;FOREG	30400
会う	会われません	V;PRS;IPFV;ELEV;POL;FOREG;NEG	9160
会う	会われた	V;PST;PFV;ELEV	107000
会う	会われなかった	V;PST;PFV;ELEV;NEG	7990
会う	会われました	V;PST;PFV;ELEV;POL;FOREG	158000
会う	会われませんでした	V;PST;PFV;ELEV;POL;FOREG;NEG	1460
会う	会わせる	V;PRS;IPFV;CAUS	576000
会う	会わせない	V;PRS;IPFV;CAUS;NEG	166000
